is_vuln,num_commits,num_unique_authors,file_age,midnight_commits,risky_commits,seldom_contributors,num_lines,commit_frequency,busy_file,extension_0,extension_1,extension_2,extension_3,extension_4,extension_5,extension_6,extension_7,extension_8,extension_9,extension_10
0,8,4,2029,1,0,2,28,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
0,7,4,2029,1,0,3,22,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,540,0,0,0,8,0.0019,0,0,0,0,0,1,1,1,1,1,0,1
0,8,5,2029,1,0,4,36,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
0,6,3,2029,1,0,2,11,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,6,3,2029,1,0,2,68,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,6,3,2029,1,0,2,33,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,6,3,2029,1,0,2,26,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,26,13,2029,1,0,8,169,0.0128,1,0,0,0,1,0,0,0,0,1,0,0
0,9,4,2029,1,0,2,243,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,132,0,0,0,102,0.0076,0,0,0,0,0,1,1,1,1,1,0,1
0,2,2,918,0,0,0,105,0.0022,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,1034,0,0,0,29,0.001,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,1034,0,0,0,10,0.001,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,1034,0,0,0,29,0.001,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,1034,0,0,0,10,0.001,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,1034,0,0,0,29,0.001,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,1034,0,0,0,29,0.001,0,0,0,0,0,1,1,1,1,1,0,1
0,6,3,2029,1,0,2,171,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,7,4,2029,1,0,3,195,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
0,8,5,2029,1,0,4,179,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
0,3,2,1082,0,0,1,15,0.0028,0,0,0,0,0,1,1,1,0,1,0,1
0,6,3,2029,1,0,2,62,0.003,0,0,1,0,1,1,1,1,0,0,1,0
0,8,4,2029,1,0,2,1073,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
0,5,2,832,0,0,1,100,0.006,0,0,0,0,0,1,1,1,1,1,0,1
0,9,6,2029,1,0,5,61,0.0044,0,0,0,0,0,1,1,1,0,1,0,1
0,6,3,2029,1,0,2,35,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,6,3,2029,1,0,2,131,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,6,3,2029,1,0,2,203,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,820,0,0,0,45,0.0012,0,0,1,0,1,1,1,1,0,0,1,0
0,6,3,2029,1,0,2,178,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,19,4,2029,3,0,3,112,0.0094,0,0,0,0,0,0,1,0,1,0,1,1
0,6,3,2029,1,0,2,60,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,146,0,0,0,285,0.0068,0,0,0,1,0,0,0,1,1,0,1,0
0,1,1,146,0,0,0,0,0.0068,0,0,0,1,0,0,0,1,1,0,1,0
0,18,5,1266,0,0,3,438,0.0142,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,1066,0,0,0,43,0.0009,0,0,0,0,0,1,1,1,1,1,0,1
0,4,2,1720,0,0,1,13,0.0023,0,0,0,0,0,1,1,1,1,1,0,1
0,4,2,1720,0,0,1,13,0.0023,0,0,0,0,0,1,1,1,1,1,0,1
